post_id,post_title,post_description,department_id,department_name,label
521,हरी राम निवासी चामा डोबरा बीस बजेड द्वारा लक्षमण सिंह सौंन सरपंच वन पंचायत बजेड पिथोरागढ़,प्रार्थी के गरीब व दिब्यांग होने के द्रष्टिगत सहायता किये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
522,खीम सिंह मेहता निवासी ग्राम व पो० बेडा पिथोरागढ़,प्रधानमंत्री आवास व विद्युत कनेक्शन दिलाये जाने बाबत,102,जिला विकास अधिकारी पिथौरागढ,54
522,खीम सिंह मेहता निवासी ग्राम व पो० बेडा पिथोरागढ़,प्रधानमंत्री आवास व विद्युत कनेक्शन दिलाये जाने बाबत,223,अधि0 अभि0 विद्युत वितरण खण्ड पिथौरागढ़,19
523,मनोज कुमार निवासी कैलाशपुरी धारचूला रोड पिथोरागढ़,गलत मनको के अधीन सड़क मार्ग का निर्माण किये जाने से आवासीय भवन को हो रही समस्या का समाधान किये जाने बाबत,168,नगर निगम  पिथौरागढ़,25
524,अनिल चंद निवासी ग्राम सिरकुच पिथोरागढ़,पी०एम०जी०एस०वाई० सड़क निर्माण में कटी जमीन का मुआवजा एवं क्षतिग्रस्त पेयजल स्रोतों व सुरक्षा दीवार का निर्माण किये जाने बाबत,91,अधि0अभि0 पी0एम0जी0एस0वाई0 खण्ड लो0नि0वि0 पिथौरागढ़,84
525,अशोक कुमार निवासी पुराना स्टेशन थल पड़ाव तहसील थल,प्रार्थी के भवन से लगे सी०सी० मार्ग में पडोसी द्वारा सीवर टैंक लगाये जाने एवं विरोध करने पर जान माल की धमकी दिए जाने बाबत,152,उप जिलाधिकारी बेरीनाग,45
526,दिवान सिंह निवासी निकट डॉन बोस्को पिथोरागढ़,पडोसी द्वारा तोड़ी गई दीवार से गन्दा पानी प्रार्थी के घर में आने से हो रही समस्या का समाधान किये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
526,दिवान सिंह निवासी निकट डॉन बोस्को पिथोरागढ़,पडोसी द्वारा तोड़ी गई दीवार से गन्दा पानी प्रार्थी के घर में आने से हो रही समस्या का समाधान किये जाने बाबत,168,नगर निगम  पिथौरागढ़,25
527,भगत सिंह मेहरा ग्राम मवानी दवानी बंगापानी,रा०ई०का० मवानी दवानी में भूस्खलन से विद्यालय भवन को हो रहे खतरे को रोकने हेतु सुरक्षात्मक कार्य किये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
528,भगत सिंह मेहरा ग्राम मवानी दवानी बंगापानी,मुह्माय्णीमंत्री घोष्णा संख्या ११२४/२०२१  मा णी धामी से दारमा तक मोटर मार्ग निर्माण प्रारंभ करवाए जाने बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
529,सुश्री प्रशंसा सिंह शाखा अध्‍यक्ष प्रांतीय उपाध्‍यक्ष माध्‍यमिक शिक्षक संघ,अगस्‍त व सितम्‍बर २०२५ का वेतन अशासकीय सहायता प्राप्‍त विघालय मिशन इण्‍टर कॉलेज के समस्‍त कर्मचारियों का वेतन आहरित किये जाने बाबत,11,"वरिष् कोषाधिकारी कार्यालय, पिथौरागढ़",35
529,सुश्री प्रशंसा सिंह शाखा अध्‍यक्ष प्रांतीय उपाध्‍यक्ष माध्‍यमिक शिक्षक संघ,अगस्‍त व सितम्‍बर २०२५ का वेतन अशासकीय सहायता प्राप्‍त विघालय मिशन इण्‍टर कॉलेज के समस्‍त कर्मचारियों का वेतन आहरित किये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
530,प्रेमा देवी प्रधान ग्राम पंचायत खोयम मुनस्‍यारी,ग्राम पंचायत खोयम मुनस्‍यारी के अन्‍तर्गत विभिन्‍न समस्‍याओं का समाधान किये जाने बाबत,96,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57
531,योगेश चन्‍द्र भटट प्रधान ग्राम पंचायत जाख पिथौरागढ्,विगत वर्ष वर्षाकाल में क्षतिग्रस्‍त दीवार तथा पैदल मार्ग का निर्माण कराये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
532,योगेश चन्‍द्र भटट ग्राम प्रधान जाख पिथौरागढ्,ग्राम जाख में विकास कार्य एवं वर्षाकाल में आपदा से क्षतिग्रस्‍त दीवार व पैदल मार्गो की मरम्‍मत करवाये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
533,"महिमन सिंह कन्‍याल प्रमुख, क्षेत्र पंचायत कनालीछीना",गर्खा महोत्‍सव २०२५ में कार्मिकों की तैनाती किये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
534,जागृति  भण्‍डारी प्रधान ग्राम पंचायत मांसु वि०ख० विण,ग्राम मांसु में १५ वर्ष पूर्व बनी सडक का डामरीकरण किये जाने बाबत,88,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46
535,बलवीर सिंह क्षेत्र पंचायत सदस्‍य गणाई ३० गंगोलीहाट,गणाई गंगोली हेतु चिकित्‍सक की स्‍थायी नियुक्ति एवं विभिन्‍न विकास योजनाओं का कार्य प्रारम्‍भ किये जाने बाबत,6,"मुख्य चिकित्साधिकारी कार्यालय, पिथौरागढ़",78
535,बलवीर सिंह क्षेत्र पंचायत सदस्‍य गणाई ३० गंगोलीहाट,गणाई गंगोली हेतु चिकित्‍सक की स्‍थायी नियुक्ति एवं विभिन्‍न विकास योजनाओं का कार्य प्रारम्‍भ किये जाने बाबत,193,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान पिथौरागढ़,43
535,बलवीर सिंह क्षेत्र पंचायत सदस्‍य गणाई ३० गंगोलीहाट,गणाई गंगोली हेतु चिकित्‍सक की स्‍थायी नियुक्ति एवं विभिन्‍न विकास योजनाओं का कार्य प्रारम्‍भ किये जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
536,"भरत राम अध्‍यक्ष, प्रधान संगठन विण पिथौरागढ्",मनरेगा योजनान्‍तर्गत पिथौरागढ् शहरी क्षेत्र से जुडी हुई ग्राम पंचायतों के पक्‍के कार्य करवाये जाने बाबत,150,खण्ड विकास अधिकारी  पिथौरागढ़,91
537,मंजुला बुदियाल क्षेत्र प्रमुख धारचूला,वाईर्बे्न्‍ट विलेज कार्यक्रम के तहत धारचूला विकासखण्‍ड के अन्‍तर्गत स्‍वीक़त कार्योें की कार्यदीयी संस्‍था विकासखण्‍ड धारचूला को बनाये जाने बाबत,243,परियोजना निदेशक डीआरडीए पिथौरागढ़ (DRDA),90
538,डॉ नीरज चन्‍द्र जोशी निदेशक देवभूमि शिक्षा केन्‍द्र न्‍यू सेरा पिथौरागढ्,हाई स्‍पीड बाईकर्स पर कार्यवाही किये जाने बाबत,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
539,जगत सिंह मर्तोलिया संयोजक मुनस्‍यारी बचाओ संघर्ष समिति,मदकोट बौना मोटर मार्ग के अपग्रेशन के कार्यों की जिला स्‍तरीय टैक्निकल कमेटी की उच्‍च स्‍तरीय जांच कराये जाने बाबत,4,"मुख्य विकास अधिकारी कार्यालय, पिथौरागढ़ ।",81
540,नरेन्‍द्र सिह रावत सचिव जाेहार सामाजिक एवं सांस्‍क़तिक समिति डीडीहाट,मॉं नन्‍द देवी मंदिर की भूमि को मंदिर कमेटी के नाम से स्वीकृत किये जाने बाबत,7,"उप जिलाधिकारी कार्यालय, डीडीहाट",42
541,विजय सिंह राणा निवासी मदकोट मुनस्‍यारी,विकासखण्‍ड मुनस्‍यारी के ग्राम वल्‍थी में चमराड देवीबगड पेयजल योजना अन्‍तर्गत मरम्‍मत व अन्‍य कार्य कराये जाने बाबत,227,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47
542,"जितेन्‍द्र प्रसाद अध्‍यक्ष जिला पंचायत, पिथौरागढ्",दिनांक १० नवम्‍बर २०२५ को ग्रामसभा उपरतोला के तोक भल्‍या में बहुउददेश्‍यीय शिविर का आयोजन किये जाने बाबत,4,"मुख्य विकास अधिकारी कार्यालय, पिथौरागढ़ ।",81
543,संदीप कुमार प्रधान ग्राम पंचायत खतीगांव पिथौरागढ्,ग्रामसभा खतीगांव में जंगली जानवरों से किसानों की खेती को बचाये जाने बाबत,112,मुख्य उद्यान अधिकारी पिथौरागढ़,31
544,संदीप कुमार प्रधान ग्राम पंचायत खतीगांव पिथौरागढ्,ग्रामसभा खतीगांव में जंगली जानवरों से किसानों की खेती को बचाये जाने बाबत,189,मुख्य कृषि अधिकारी पिथौरागढ,33
545,शमशेर गोबाडी निवासी गौडीहाट मूनाकोट पिथौरागढ्,विकासखण्‍ड मूनाकोट में मनरेगा कार्यों का भुगतान हेतु कार्यवाही कर समस्‍या का समाधान किये जाने बाबत,4,"मुख्य विकास अधिकारी कार्यालय, पिथौरागढ़ ।",81
546,शमशेर गोबाडी निवासी गौडीहाट मूनाकोट पिथौरागढ्,विकासखण्‍ड मूनाकोट में मनरेगा कार्यों का भुगतान हेतु कार्यवाही कर समस्‍या का समाधान किये जाने बाबत,102,जिला विकास अधिकारी पिथौरागढ,54
547,हरिश चन्द्र निवासी पिथौरागढ़,नामांतरण प्रकरण का शीघ्र निस्तारण किये जाने बाबत।,12,तहसील पिथौरागढ़,0
548,सुनीता देवी निवासी गंगोलीहाट,"आधार कार्ड में जन्मतिथि संशोधन के लिए आवेदन किया था, अभी तक सुधार नहीं हुआ।",5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
549,कमला देवी निवासी ग्राम गंगोलीहाट तहसील पिथौरागढ़,आय प्रमाण पत्र ऑनलाइन आवेदन के बाद भी जारी नहीं हुआ है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
550,कमला देवी निवासी मुनस्यारी,निवास प्रमाण पत्र डाउनलोड नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
551,गोपाल सिंह निवासी पिथौरागढ़,ई-डिस्ट्रिक्ट पोर्टल पर आवेदन सबमिट नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
552,रेखा देवी निवासी ग्राम कनालीछीना तहसील पिथौरागढ़,आधार कार्ड में मोबाइल नंबर अपडेट करने में समस्या आ रही है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
553,आनंद सिंह निवासी कनालीछीना,जाति प्रमाण पत्र का आवेदन कई दिनों से लंबित है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
554,ममता देवी निवासी धारचूला,ई-डिस्ट्रिक्ट पोर्टल लॉगिन नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
555,पूजा देवी निवासी पिथौरागढ़,"आधार कार्ड में पता परिवर्तन के लिए आवेदन किया था, लेकिन संशोधन नहीं हुआ।",5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
556,हरीश चंद्र निवासी पिथौरागढ़,ई-डिस्ट्रिक्ट पोर्टल पर आय प्रमाण पत्र का आवेदन सफलतापूर्वक जमा नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
557,गीता देवी निवासी बेरीनाग,"निवास प्रमाण पत्र के लिए ऑनलाइन आवेदन किया था, लेकिन प्रमाण पत्र जारी नहीं हुआ।",5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
558,प्रकाश सिंह निवासी धारचूला,आधार कार्ड में मोबाइल नंबर अपडेट करने के बाद भी परिवर्तन दिखाई नहीं दे रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
559,कविता देवी निवासी गंगोलीहाट,जाति प्रमाण पत्र के आवेदन की स्थिति कई दिनों से लंबित दिखाई दे रही है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
560,देवेंद्र सिंह निवासी ग्राम कनालीछीना तहसील पिथौरागढ़,ई-डिस्ट्रिक्ट पोर्टल पर दस्तावेज़ अपलोड करते समय त्रुटि आ रही है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
561,विमला देवी निवासी मुनस्यारी,आधार कार्ड में पता संशोधन का आवेदन स्वीकृत नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
562,मनोज कुमार निवासी कनालीछीना,आय प्रमाण पत्र डाउनलोड करने का विकल्प उपलब्ध नहीं हो रहा है।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
563,पुष्पा देवी निवासी पिथौरागढ़,ऑनलाइन आवेदन करने के बाद आवेदन संख्या प्राप्त नहीं हुई।,5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
564,सुरेश सिंह निवासी गंगोलीहाट,"ई-डिस्ट्रिक्ट पोर्टल बार-बार बंद हो रहा है, जिससे आवेदन नहीं हो पा रहा है।",5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
565,मीना देवी निवासी बेरीनाग,"आधार कार्ड में नाम संशोधन का आवेदन कई दिनों से लंबित है, कृपया आवश्यक कार्यवाही की जाए।",5,ई डिस्ट्रिक्ट मैनेजर पिथौरागढ़,89
566,मोहन सिंह निवासी ग्राम कनालीछीना तहसील पिथौरागढ़,रोजगार कार्यालय में पंजीकरण करने के उपरान्त भी नौकरी की सूचना प्राप्त नहीं हो रही है।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
567,कमला देवी निवासी ग्राम गंगोलीहाट तहसील पिथौरागढ़,सेवायोजन कार्यालय में पंजीकरण कराने के बाद भी रोजगार उपलब्ध नहीं कराया गया।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
568,गोविन्द सिंह निवासी ग्राम बेरीनाग तहसील पिथौरागढ़,शिक्षित बेरोजगार होने के बावजूद रोजगार उपलब्ध कराये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
569,हंसा देवी निवासी ग्राम डीडीहाट तहसील पिथौरागढ़,रोजगार मेले में आवेदन करने के बाद भी चयन प्रक्रिया की जानकारी उपलब्ध नहीं हुई।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
570,महेश सिंह निवासी ग्राम मुनस्यारी तहसील पिथौरागढ़,सेवायोजन कार्यालय में दर्ज बेरोजगारी पंजीकरण का नवीनीकरण किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
571,पुष्पा देवी निवासी ग्राम धारचूला तहसील पिथौरागढ़,रोजगार हेतु आवेदन करने के बावजूद किसी प्रकार की सूचना प्राप्त नहीं हुई।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
572,सुरेश सिंह निवासी ग्राम अस्कोट तहसील पिथौरागढ़,रोजगार कार्यालय में पंजीकरण सम्बन्धी त्रुटि का समाधान किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
573,प्रकाश चन्द्र निवासी ग्राम थल तहसील पिथौरागढ़,निजी एवं सरकारी रोजगार अवसरों की जानकारी उपलब्ध कराये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
574,गीता देवी निवासी ग्राम गणाई गंगोली तहसील पिथौरागढ़,सेवायोजन विभाग द्वारा आयोजित रोजगार मेले में सम्मिलित किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
575,दीपक सिंह निवासी ग्राम झूलाघाट तहसील पिथौरागढ़,रोजगार कार्यालय में जमा आवेदन पर आवश्यक कार्यवाही किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
576,समस्त बेरोजगार युवक ग्राम गंगोलीहाट पिथौरागढ़,शिक्षित बेरोजगार युवाओं को रोजगार उपलब्ध कराये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
577,हरीश सिंह एवं अन्य बेरोजगार युवक ग्राम बेरीनाग,सेवायोजन कार्यालय में रोजगार पंजीकरण के उपरान्त भी नौकरी उपलब्ध न होने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
578,सीमा देवी निवासी ग्राम मुनस्यारी पिथौरागढ़,रोजगार मेले में आवेदन करने के बावजूद चयन सम्बन्धी सूचना उपलब्ध नहीं हुई।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
579,समस्त शिक्षित बेरोजगार ग्राम कनालीछीना पिथौरागढ़,बेरोजगार युवाओं के लिए रोजगार शिविर आयोजित किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
580,देवेन्द्र सिंह अध्यक्ष युवा मंगल दल ग्राम डीडीहाट,क्षेत्र के युवाओं हेतु रोजगार एवं कौशल विकास शिविर आयोजित किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
581,कमला देवी एवं अन्य अभ्यर्थी निवासी धारचूला,सेवायोजन कार्यालय में पंजीकरण के पश्चात भी रोजगार सम्बन्धी सूचना प्राप्त नहीं हो रही है।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
582,समस्त अभ्यर्थी रोजगार कार्यालय पिथौरागढ़,रोजगार हेतु जमा किये गये आवेदनों पर शीघ्र कार्यवाही किये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
583,मनोज कुमार एवं अन्य युवक ग्राम थल पिथौरागढ़,निजी एवं सरकारी रोजगार के अवसर उपलब्ध कराये जाने बाबत।,212,जिला सेवायोजन अधिकारी पिथौरागढ़,64
584,मोहन सिंह निवासी ग्राम धारचूला देहात,ग्राम की सरकारी भूमि पर किये गये अतिक्रमण को हटवाये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
585,कमला देवी एवं समस्त परिवार निवासी जौलजीबी धारचूला,पैतृक भूमि में हक हिस्सा दिलाये जाने हेतु आवश्यक कार्यवाही किये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
586,समस्त ग्रामवासी ग्राम बलुवाकोट धारचूला,ग्राम में आधार नामांकन एवं संशोधन शिविर आयोजित किये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
587,गोविन्द सिंह निवासी ग्राम पांगला धारचूला,आपदा से क्षतिग्रस्त कृषि भूमि का मुआवजा दिलाये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
588,शकुंतला देवी सामाजिक कार्यकर्त्ता जौलजीबी,गरीब परिवारों को भूमि का स्वामित्व दिलाने हेतु आवश्यक कार्यवाही किये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
589,महेश सिंह निवासी ग्राम धारचूला,सरकारी भूमि पर अवैध कब्जा हटवाकर आम रास्ता खुलवाये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
590,समस्त ग्रामवासी ग्राम तवाघाट धारचूला,आपदा प्रभावित परिवारों को मुआवजा एवं राहत राशि उपलब्ध कराये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
591,हरीश चन्द्र प्रधान ग्राम पंचायत पांगला धारचूला,ग्राम में राजस्व सम्बन्धी समस्याओं के समाधान हेतु शिविर आयोजित किये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
592,विमला देवी निवासी जौलजीबी धारचूला,पैतृक संपत्ति के बंटवारे में प्रशासनिक सहायता उपलब्ध कराये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
593,समस्त प्रभावित परिवार ग्राम धारचूला,प्राकृतिक आपदा से क्षतिग्रस्त मकानों का सर्वे कराकर उचित मुआवजा दिलाये जाने बाबत।,154,उप जिलाधिकारी धारचूला,65
594,मोहन सिंह निवासी ग्राम झूलाघाट पिथौरागढ़,ग्राम में घर-घर जल योजना के अन्तर्गत पेयजल संयोजन उपलब्ध कराये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
595,कमला देवी निवासी ग्राम बेरीनाग पिथौरागढ़,पेयजल पाइपलाइन का निर्माण कार्य शीघ्र प्रारम्भ किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
596,समस्त ग्रामवासी ग्राम कनालीछीना पिथौरागढ़,ग्राम में नई पेयजल लाइन बिछवाये जाने हेतु आवश्यक कार्यवाही किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
597,भगवान सिंह प्रधान ग्राम पंचायत बलुवाकोट धारचूला,घर-घर जल योजना से वंचित परिवारों को पेयजल संयोजन उपलब्ध कराये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
598,पुष्पा देवी निवासी ग्राम डीडीहाट पिथौरागढ़,"पेयजल पाइपलाइन क्षतिग्रस्त होने के कारण जलापूर्ति बाधित है, मरम्मत कराये जाने बाबत।",216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
599,समस्त ग्रामीण ग्राम मुनस्यारी पिथौरागढ़,गांव में पेयजल टंकी का निर्माण कर नियमित जलापूर्ति सुनिश्चित किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
600,गोविन्द सिंह एवं समस्त ग्रामवासी ग्राम थल पिथौरागढ़,घर-घर जल योजना के अन्तर्गत शेष परिवारों को पेयजल कनेक्शन उपलब्ध कराये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
601,विमला देवी निवासी ग्राम गंगोलीहाट पिथौरागढ़,पेयजल लाइन का विस्तार कर नये मोहल्ले तक जलापूर्ति उपलब्ध कराये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
602,महेन्द्र सिंह निवासी ग्राम धारचूला पिथौरागढ़,निर्माणाधीन पेयजल योजना का कार्य शीघ्र पूर्ण किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
603,समस्त परिवार निवासी ग्राम अस्कोट पिथौरागढ़,घर-घर जल योजना के अन्तर्गत पेयजल कनेक्शन स्वीकृत किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
604,हरिश चन्द्र प्रधान ग्राम पंचायत गंगोलीहाट पिथौरागढ़,ग्राम पंचायत के सभी परिवारों को घर-घर जल योजना के अन्तर्गत पेयजल संयोजन उपलब्ध कराये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
605,कमला देवी एवं समस्त ग्रामवासी ग्राम बेरीनाग पिथौरागढ़,ग्राम में नई पेयजल पाइपलाइन निर्माण कार्य शीघ्र प्रारम्भ किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
606,महेश सिंह निवासी ग्राम मुनस्यारी पिथौरागढ़,पेयजल टंकी से नियमित जलापूर्ति न होने के कारण नई पाइपलाइन बिछवाये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
607,समस्त ग्रामवासी ग्राम डीडीहाट पिथौरागढ़,घर-घर जल योजना के अन्तर्गत शेष परिवारों को पेयजल कनेक्शन प्रदान किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
608,गोविन्द सिंह निवासी ग्राम कनालीछीना पिथौरागढ़,क्षतिग्रस्त पेयजल पाइपलाइन का पुनर्निर्माण कर नियमित जलापूर्ति सुनिश्चित किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
609,समस्त ग्रामीण ग्राम धारचूला पिथौरागढ़,पेयजल योजना का निर्माण कार्य अधूरा होने के कारण उसे शीघ्र पूर्ण कर जलापूर्ति प्रारम्भ किये जाने बाबत।,216,अधिशासी अभियंता निर्माणी पेयजल निगम पिथौरागढ़,40
610,मोहन सिंह निवासी ग्राम धारचूला पिथौरागढ़,"अतिवृष्टि के कारण मकान क्षतिग्रस्त हो गया है, राहत प्रदान किये जाने बाबत।",215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
611,कमला देवी निवासी ग्राम मुनस्यारी पिथौरागढ़,"भूस्खलन से कृषि भूमि क्षतिग्रस्त हो गयी है, मुआवजा दिलाये जाने बाबत।",215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
612,समस्त ग्रामवासी ग्राम तवाघाट धारचूला,"भूस्खलन के कारण मुख्य मार्ग अवरुद्ध है, मार्ग खुलवाये जाने बाबत।",215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
613,गोविन्द सिंह प्रधान ग्राम पंचायत जौलजीबी,आपदा प्रभावित परिवारों को राहत सामग्री उपलब्ध कराये जाने बाबत।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
614,हरीश चन्द्र निवासी ग्राम अस्कोट पिथौरागढ़,"भारी वर्षा के कारण मकान में दरारें आ गयी हैं, निरीक्षण कर सहायता प्रदान किये जाने बाबत।",215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
615,समस्त प्रभावित परिवार ग्राम बंगापानी,प्राकृतिक आपदा से प्रभावित परिवारों को आर्थिक सहायता उपलब्ध करायी जाये।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
616,पुष्पा देवी निवासी ग्राम डीडीहाट पिथौरागढ़,वर्षा से क्षतिग्रस्त मकान का सर्वे कराकर मुआवजा स्वीकृत किये जाने बाबत।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
617,महेश सिंह निवासी ग्राम गंगोलीहाट पिथौरागढ़,वर्षा से क्षतिग्रस्त मकान का सर्वे कराकर मुआवजा स्वीकृत किये जाने बाबत।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
618,महेश सिंह निवासी ग्राम गंगोलीहाट पिथौरागढ़,भूस्खलन की आशंका को देखते हुए सुरक्षा दीवार निर्माण किये जाने बाबत।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
619,समस्त ग्रामवासी ग्राम कनालीछीना पिथौरागढ़,"वर्षा के कारण पेयजल लाइन एवं सड़क क्षतिग्रस्त हो गयी है, आवश्यक कार्यवाही किये जाने बाबत।",215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
620,विमला देवी एवं समस्त परिवार निवासी धारचूला,आपदा में क्षतिग्रस्त आवास के पुनर्निर्माण हेतु सहायता प्रदान किये जाने बाबत।,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2
